,Latitude,Longitude,City,Country,Temperature,Humidity,Cloud Coverage,Wind Speed
0,24.37746358275902,173.66640981025063,butaritari,ki,82.58,99,0,12.06
1,36.25900876719193,137.68049272478987,hotaka,jp,5.32,68,32,1.48
2,46.62068397558818,-54.1579259366669,marystown,ca,22.6,100,32,9.31
3,-82.20984646608026,90.01371671122547,busselton,au,65.98,100,0,18.21
4,-71.6467275019975,19.182723129558042,bredasdorp,za,80.6,47,0,8.05
5,-53.94686198362207,-80.32293194511978,punta arenas,cl,48.2,49,75,14.99
6,-13.32476396834221,136.96054519022135,alyangula,au,80.2,100,56,9.93
7,81.70693372610648,-134.86697447895972,tuktoyaktuk,ca,12.2,92,90,26.4
8,37.313680903074285,-146.47470163471206,kahului,us,63.52,56,90,10.29
9,46.62486709399562,49.126235954907656,marfino,ru,21.2,92,75,11.18
10,62.08883577528195,63.68325189150991,agirish,ru,1.81,70,0,2.48
11,-1.8676188994834177,-148.3448895051832,atuona,pf,80.87,100,32,18.1
12,62.41197713636268,177.4325807161311,beringovskiy,ru,33.76,91,64,21.9
13,78.08726750588295,-66.30767762125569,narsaq,gl,8.55,78,75,3.36
14,38.58058483011493,160.36397441465317,severo-kurilsk,ru,24.13,100,48,14.29
15,-44.34677770187713,-92.65375650099112,castro,cl,52.97,98,92,8.86
16,-2.999713860577316,95.73926864201206,padang,id,80.38,100,12,2.71
17,73.75475776806158,147.53455093646272,chokurdakh,ru,-4.14,67,76,15.97
18,-0.351760840392771,163.8948024179715,buala,sb,80.38,100,24,8.03
19,-32.42745778894566,-75.97382674232807,valparaiso,cl,70.25,60,0,13.87
20,-21.77086716374646,-169.6588281720309,alofi,nu,75.2,94,40,3.36
21,39.04020201574616,129.30162563745512,seoul,kr,30.15,100,40,4.27
22,28.657598145092038,-0.8307827780407138,adrar,dz,62.6,20,0,20.8
23,-76.80039951875042,174.22211476624193,bluff,nz,60.44,100,92,13.56
24,-83.16310783929777,-78.92893161482525,ushuaia,ar,44.6,81,75,28.86
25,57.073736558842825,158.33655856463025,tigil,ru,19.45,88,80,5.28
26,-30.265384612680556,75.60585273965063,bambous virieux,mu,77,94,75,6.91
27,-42.245032870055056,-25.03328932720507,arraial do cabo,br,88.66,70,0,16.11
28,73.85716847976917,170.74645855834365,pevek,ru,7.48,92,68,5.35
29,-45.708156145793716,32.49589696725681,port alfred,za,78.98,75,24,6.06
30,68.25628594677423,139.7944887223744,deputatskiy,ru,-17.23,71,64,2.82
31,59.292083397296864,151.94562900076096,ola,ru,-0.41,70,68,4.47
32,88.66942632103806,-40.06744159282539,ilulissat,gl,-2.21,36,75,4.7
33,51.18383597099901,13.078824955078005,dobeln,de,32.9,73,8,4.7
34,-34.744221731926935,10.780197434623688,saldanha,za,69.8,64,76,13.87
35,-31.648294383312944,-138.4201586692415,rikitea,pf,77.05,100,56,6.62
36,-6.724907911182697,152.32689501484646,kokopo,pg,77.09,100,88,8.75
37,10.133228026860706,-81.04307336006994,palmas bellas,pa,84.2,66,20,5.82
38,-37.20851623594216,16.9005142637848,cape town,za,73.4,60,75,23.04
39,58.995516643245935,105.40815621167519,yantal,ru,-13,59,56,2.55
40,44.47481742679656,-168.22171140853837,bethel,us,33.8,59,1,14.99
41,-10.245280994467464,-11.095176096208718,georgetown,sh,82.4,65,20,17.22
42,-16.35315156336206,152.64538571737614,bowen,au,69.8,94,40,5.82
43,-41.68644853811306,-36.180992636144936,cidreira,br,92.57,49,24,7.4
44,35.26480820470944,-134.82703228251603,fortuna,us,46.56,100,90,3.36
45,47.52638594170128,145.04753485796738,novikovo,ru,28.36,95,92,13.33
46,78.77722848977484,-114.54720524008142,yellowknife,ca,5,71,75,6.93
47,53.06920696572004,129.00289948185377,shimanovsk,ru,-4.9,66,48,5.01
48,-52.093556560072074,138.24102841320035,new norfolk,au,64.4,82,20,4.7
49,-19.357811088558904,55.30560409182246,saint-denis,re,76.82,78,75,4.7
50,22.79398309836307,-106.72467176991199,mazatlan,mx,69.8,83,75,2.71
51,56.12546458049866,-72.35994725415334,chapais,ca,-7.61,63,1,11.41
52,-39.519827730565275,139.49425244864722,mount gambier,au,68.5,81,12,2.33
53,35.68430443568609,96.85803183770565,yumen,cn,7.12,79,68,6.73
54,-36.601658714778836,172.19979108638836,ahipara,nz,67.28,97,100,12.84
55,42.00757531054953,8.408925429360778,ajaccio,fr,51.53,50,20,6.93
56,22.02013472801164,-70.27640644124031,cockburn town,tc,77.63,99,0,23.91
57,-28.445717114301075,113.77013360654286,geraldton,au,68,72,0,21.92
58,-10.33663898177052,-107.57357572193858,puerto ayora,ec,78.8,78,75,6.93
59,-34.91378666437097,-173.96106888070895,vaini,to,80.6,88,20,4.7
60,-50.259503092846025,118.05681054559972,albany,au,63.23,73,64,9.93
61,59.2205856308743,-50.60518390403422,paamiut,gl,19,100,68,20.22
62,-37.10792657439458,164.59314240443422,westport,nz,52.43,100,0,2.04
63,-0.9604035685774477,140.69000703696867,vanimo,pg,83.03,100,88,17.58
64,-4.226110959149395,74.12389588927766,hithadhoo,mv,83.71,100,48,9.37
65,32.55039129452905,-167.2961291784879,kapaa,us,64.4,72,40,8.05
66,25.92501351564526,96.61585002829742,myitkyina,mm,58.6,97,24,4
67,33.145168029458944,-112.1326900341865,phoenix,us,55.38,21,20,8.05
68,44.81681925334698,169.00587317251626,nikolskoye,ru,24.8,85,90,4.47
69,67.10226168746968,24.84712048997801,rovaniemi,fi,19.4,92,90,9.17
70,78.6718665790442,-91.72242296762154,qaanaaq,gl,-15.7,89,56,5.61
71,60.43504222006209,56.02477665821809,cherdyn,ru,13.06,84,68,3.89
72,20.905351790463797,-7.4320798329521836,taoudenni,ml,68.32,26,0,13.11
73,-36.828780516795355,-162.98433053778592,avarua,ck,78.8,94,40,5.82
74,6.447182437785585,67.82302764445265,kulhudhuffushi,mv,83.3,97,48,11.1
75,16.173228855670672,101.85021210679866,kaset sombun,th,65.26,84,0,2.37
76,2.17761934708507,121.57813765641038,gorontalo,id,73.49,97,56,2.26
77,87.8598882293326,-37.19090767399621,tasiilaq,gl,19.4,85,90,19.46
78,58.67910149765058,86.89798707650033,pervomayskoye,ru,11.57,91,80,5.23
79,-23.98659858504206,21.233205256161796,hukuntsi,bw,86.54,38,44,7.52
80,-3.720102825146512,-61.95651225197696,codajas,br,88.7,71,20,7.29
81,10.593343860960417,2.818271709051885,bembereke,bj,94.42,25,20,8.52
82,-14.20446923996316,60.162599952538216,cap malheureux,mu,77,94,75,14.34
83,32.966522290543395,-62.414088988568125,saint george,bm,66.2,93,75,18.34
84,-71.12326736937797,151.2342506249051,hobart,au,64.4,82,20,4.7
85,-28.905041017928305,87.49075293213878,carnarvon,au,78.98,92,8,21.61
86,10.782994628259672,60.7524249468415,salalah,om,73.4,69,0,6.93
87,22.977335659893924,104.67933779113162,mabai,cn,45.77,92,24,1.48
88,10.377068938181623,47.317747919601516,bosaso,so,73.81,100,0,12.95
89,-20.877783404526312,38.02895283495806,quelimane,mz,80.6,83,75,5.82
90,28.74618101952572,-104.30217117893939,ojinaga,mx,45.46,60,32,2.26
91,-3.219006658788288,-65.46321954710818,uarini,br,87.8,84,40,5.82
92,49.93629824219917,131.11800942138632,khingansk,ru,0.82,68,76,2.37
93,43.29758656802912,38.058973647243164,arkhipo-osipovka,ru,44.69,98,64,4.79
94,-58.7795370524739,176.38584292586455,kaitangata,nz,56.3,93,92,5.61
95,-41.55012914961646,-107.06158439638622,ancud,cl,58.28,73,68,7.29
96,-15.899221215422116,-48.61216496615555,abadiania,br,78.8,61,75,8.05
97,89.58339777533976,-149.88178684429562,barrow,us,36.95,74,1,5.82
98,20.263914340928707,-83.17777658232667,santa fe,cu,80.6,69,75,12.75
99,44.347862342333315,-179.90952076532204,provideniya,ru,29.08,99,92,25.37
100,70.75411642064316,125.95607798672364,tiksi,ru,-33.66,0,20,2.71
101,72.55129418802727,-76.31147934576337,clyde river,ca,-29.21,66,20,8.05
102,-45.12464936035778,16.23131596580521,hermanus,za,79.03,40,0,12.62
103,51.08045880967944,-131.28354857736636,prince rupert,ca,26.6,92,1,4.7
104,43.017792606025466,-8.303793686047356,betanzos,es,48.02,57,40,11.41
105,-10.888185090346198,50.82048579628284,ambilobe,mg,75.47,99,92,3.04
106,-19.507101475328838,-52.35860976982576,cassilandia,br,87.89,77,0,7.02
107,55.26481051231923,80.83482464810089,chulym,ru,1.81,61,56,3.71
108,19.94708322346564,107.10259054351184,thai binh,vn,59.41,95,68,6.73
109,-15.910264063700993,40.26318645673862,angoche,mz,74.39,100,92,7.63
110,67.67801633978644,61.11925884469969,verkhnyaya inta,ru,13.87,70,76,5.23
111,85.12897171423762,90.92853686295308,dikson,ru,18.5,86,56,25.59
112,-16.965118074985057,65.66842157375675,quatre cocos,mu,77,94,75,6.91
113,-20.07291798405413,-74.08611822679254,ilo,pe,72.68,67,76,3.56
114,-2.139973266738963,84.23950883982462,hambantota,lk,79.97,100,64,11.16
115,33.2398380208689,97.24471295309479,tezu,in,46.45,98,92,1.54
116,25.04945012472251,64.91805529567989,ormara,pk,73.18,77,88,11.16
117,19.541254857660178,-74.54741435353804,baracoa,cu,75.43,100,88,18.37
118,42.54983234276921,128.44394713053975,helong,cn,45.68,98,92,2.48
119,27.34452661092692,-88.04292546030727,pascagoula,us,59.85,63,75,9.17
120,52.748775453972115,89.48200070092014,tashtyp,ru,-0.54,53,0,1.48
121,22.0397894326818,-38.045429954633335,ponta do sol,cv,67.78,100,32,26.87
122,37.27252084938759,-151.1315364309903,ahuimanu,us,64.83,72,90,3.36
123,-21.088181802817857,-39.70760082669608,guarapari,br,80.6,94,75,3.36
124,-46.896631253585596,-69.76942439916697,comodoro rivadavia,ar,59,41,40,10.29
125,-26.48927667433805,139.82391793945544,broken hill,au,79.97,36,0,6.02
126,-14.572437803000057,160.25493631186805,kirakira,sb,82.49,100,92,12.95
127,-20.860344260803657,-33.60023521840364,caravelas,br,80.69,99,92,15.41
128,-28.279779668653326,33.333915329205695,richards bay,za,83.93,58,0,13.96
129,13.472676728987437,6.397974778101684,tibiri,ne,100.4,5,0,9.17
130,22.020004903920366,55.6512602062887,nizwa,om,62.42,17,0,7.58
131,39.98595580455219,124.07173825163756,dandong,cn,22.42,60,12,9.04
132,66.25476691292067,69.25873794817207,aksarka,ru,2.98,86,36,6.13
133,72.26363256293882,90.67459349306785,talnakh,ru,7.43,85,76,8.81
134,25.184552172754024,22.014490160145158,jalu,ly,81.95,29,92,8.86
135,47.53096224362719,-128.5227063438246,ucluelet,ca,33.8,100,40,2.04
136,33.22794154034236,-110.85926411082413,florence,us,53.82,54,1,9.17
